Id,Guest name,Review on,Review Site,Review,Rooms ratings,Service ratings,Location ratings,Overall ratings,Hotel highlights,Purpose,Guest type
1,satish deshpande,4 months ago,Google,"The rooms were spotless, service was prompt, and the staff were courteous with reasonable rate. Additionally, their in-house kitchen serves incredibly delicious food. I highly recommend staying here to enjoy the delightful cuisine. Best place to stay in Porbandar.Market and tourist places are near.",4,5,5,4,Luxury and Quiet and Great value,Holiday and Family,
2,Rutvik Thomare,3 months ago,Google,"Near bus stop and other main location chaupati also... Good room, service ambience and everything.... Very good staff and nearby to the market also... And in affordable rate of 1100 to 1300 ... Most recommended if you want to stay in porbandar",5,5,5,5,,Holiday and Family,
3,Sean Lall,1 year ago,Google,"Good location few minutes walk from the bus station. We had a small issue with the hotel not accepting our ID, which they explained, but I did Not agree. But was resolved with no further. …",5,4,5,4,,Holiday and Family,
4,manoj makwana,7 months ago,Google,"All time best hotel. I have been booking regularly since the hotel start in town. Kind staff, good room service and reasonable.",4,4,4,4,,,
5,Vijay Visavadia,9 months ago,Google,"Best hotel in porbandar. Best food, staff, room service, and reception staff are very friendly  and helpful. Kaushuk Bhai, general manager is very help full and very good at managing the hotel. Every time we visit porbandar we stay at Hotel Kuber.  Thank you Hotel  kuber and staff. We will see you again soon.",5,5,5,5,,,
6,Dilip Vadhiya,2 years ago,Google,"Best location in the city, rooms are specious and nicely designed for a family. Average quality of food at good price offered in room, no restaurant. Some issues found with cleaning of rooms,  found bins are not replaced before offering.Overall a good experience at affordable price.",5,4,5,4,,Business,
7,Kiran Panchal,1 year ago,Google,"A great experience with all the staff. Well kept rooms and a comfortable stay.Right from check-in to check-out.They held our luggage for us when were traveling for the day, even after …",4,5,5,4,,Holiday and Family,
8,geeta kukadia,1 year ago,Google,"Terrible hotel,  would never recommend it to anyone. Bathroom is a wet room with bugs and flies. Pictures on website are deceiving. Bed linen is not good, towels are very old. Needs a refurbishment. It's 2 person per room if you want to sleep on bed, extra person has to sleep on floor on mattress. They do not have folding bed.",1,3,3,1,,Holiday and Family,
9,himanshu b,2 years ago,Tripadvisor,"Situated in center of city, inside the complex, have lift so no movement problem. Rooms are fine, food quality was good with price. There is much more scope for improvement of service, so try to improve it. Staff behavior not that good. I will recommend.",,,,4,,,
10,Arpan “Dips” kandiyal,3 months ago,Google,Nice hotel staff is great 👍,5,,5,5,,,
11,Amans flying machine,1 year ago,Google,Decent hotel in Porbandar. It is economic and has good ambience to make it worth staying there. Well behaved staffs which offer good room service. The staff are polite and professional. The location of the hotel is close to the Porbandar …,5,,5,5,High-tech,,
12,Jayant Odedra,4 years ago,Google,We stayed at this hotel in December 2019 for 3 weeks. The hotel is modern and clean with very good room service.The staff is excellant and the Manager Kaushikbhai personally ensures that guests have a comfortable stay.The hotel rates for …,5,,5,5,,Family,
13,Anjaleesudra,5 years ago,Tripadvisor,"Me and my husband stayed 2 nights in this hotel in January after our wedding. The hotel staff and service was amazing, the location of the hotel was ok for us as we had to go to a venue nearby for events. …",,,,5,,,
14,Sweta Chakraborty,1 year ago,Google,Decent hotel in Porbandar. It is economic and has good ambience to make it worth staying there. Well behaved staffs which offer good room service. The staff are polite and professional.,5,,5,5,,,
15,Kartikeya R,5 years ago,Tripadvisor,It's good budget hotel. Rooms are good. Service is also very good. Hassle free check in. Only minus point is that hotel doesn't have parking facility which bothers us. Else every thing perfect. Would recommend it.,,,,4,,,
16,SS E,4 years ago,Tripadvisor,We stayed at Hotel Kuber on november 19 . Hotel rooms are very clean nd spacious. All places are near to the hotel. Beach comes with walking diatance. Food was so good. Reception staff was very helpful. Enjoyed our saty. All the best Kuber staff,,,,5,,,
17,YOGA NARSIMHA,4 years ago,Google,"We stayed in the hotel for a night, which is not far from the Beach, a 30 rs. auto ride should do it.The reception of the hotel is on the first floor and there are shops on the …",3,,3,3,,Couple,
18,Pranjal Pundheer,1 year ago,Google,"Pathetic, Disgusting, Disrespectful, Receptionists don’t know how to talk to ladies. When check out time about to reach pressurised you to leave the hotel. They even ask the guard to lock the gate as we will  not pay them. Seriously only one guy in hotel know how to talk to guest else other one is pathetic.",1,,1,1,,Business and Family,
19,akankshya nayak,1 year ago,Google,Great hotel great staff behaviour very well neat and clean ..parking area also available so big .,,,,5,,,
20,Vishal Sheladiya,1 year ago,Google,Very nice clean and new rooms all facilities in room and good staff and managing in hotel i like you hotel in porbandar,5,,5,5,,Family,
21,Parth Shah,4 years ago,Google,Hotel Kuber is situated in the main city center. The market is very nearby to the Hotel. Everyone can reach there by walking too. The rooms are clean. The service provided by them is also good. The staff is very cooperative. There are …,,,,4,,,
22,VIVEK TRIVEDI,2 years ago,Google,"I came at Hotel Kuber for check in at 2 P.M. my entire was family was tired because we came from Ahmedabad but on reaching st hotel, the manager told us thaf rooms are not cleaned so wait for few minutes and we waiting for almost 45 min …",,,,1,,,
23,Rajat Agarwal,2 years ago,Google,"Great hotel, great staff, great service, great food, no issues faced, clean & neat, all major attractions are near by only parking space could be a issue (i didn't face it coz of less crowd) maybe during peak hours roads might be full with tourist.",,,,5,,,
24,Nisarg Raval,7 years ago,Google,"The Location of the hotel is at the heart of the city.The main tourist attraction ""Chowpaty Beach"" is at a walking distance from the hotel.The Rooms were nice and clean. Also the rent was very reasonable.But they don't have a proper parking space.Have to park on the road overnight.",,,,4,,,
25,Kaushik S,3 years ago,Google,Hello All valued customers. Greetings from Hotel Kuber!! Porbandar.We are clarify that we don't have swimming pool in our premises. One of Guest posted water park picture in google in our google map site. And this is copyright …,,,,5,,,
26,chetna b,4 years ago,Tripadvisor,"WE had a amazing stay at this hotel the service is really upto the par. The hotel is really neat and tidy especially the rooms, the room service is amazing as well. The food quality is top notch. I highly reccomend a stay in this hotel.",,,,5,,,
27,Rajesh Patani,5 years ago,Google,"PATHETIC...HOTELI paid Rs. 3599, and found the hotel is horrible. No soap, no hot water, bad smelling toilets. Dusty Windows and lot more. U will find better hotels with rates far below I paid. There is no option for negative rating, otherwise I would give - 5.",,,,1,,,
28,Nilesh S,4 years ago,Tripadvisor,Stayed at Hotel Kuber for business purpose. Hotel situated in the middle of the city. Room was clean and spacious. Service was superb. Budget hotel but provide 3 star facilities. Reception staff was very friendly.,,,,5,,,
29,TECHI PARTH,6 years ago,Google,"Well this hotel is okay. Service was good but the area where it is, is not best for anyone who arw coming from another town. And also the food is not upto the mark there are some quality issue and also related to taste so this hotel is not best but it is average",,,,3,,,
30,Ashna Singh,1 year ago,Google,"Worst experience of my life , pathetic hotel and people Receptionist was very disrespectful and rude , kept shouting on you , asked to vacant the room as soon as tim to check out, abusive language was used , tried to threaten , bad smell in rooms , would never recommend for any ladies and girls",1,,1,1,,,
31,Rishav Patel,1 year ago,Google,great experience with all the staff. Well kept rooms and a comfortable stay.,5,,5,5,,,
32,himanshu bhattacharya,2 years ago,Google,"Situated in center of city, inside the complex, have lift so no movement problem. Rooms are fine, food quality was good with price. There is much more scope for improvement of service, so try to improve it. Staff behavior not that good. I will recommend.",4,,2,4,,Family,
33,Dragan9626,4 years ago,Tripadvisor,"I Enjoyed the service and the facilities provided by the Hotel,Staff behaviour was also Good,I stayed for 1 week in Hotel Kuber Porbandar,For next trip also i will choose again this hotel.also near by market and Buses and railyway station is not so far.",,,,5,,,
34,Ashish k,4 years ago,Tripadvisor,I enjoyed my stay at hotel kuber with my family. I was stayed there for 5 days.Hotel service was excellent. Staff are so co operative.  Stay was very comfortable and enjoyable. I wish to stay at Kuber for my next trip.,,,,5,,,
35,Mohit S,3 years ago,Tripadvisor,Kuber is the best budget hotel in Porbandar. I stayed there on my business tour and i was very pleased with the room service and room they provided. Always recommend to someone traveling to porbandar.,,,,5,,,
36,Pankaj Chavda,3 years ago,Google,Prices were quite cheaper for everyone. Hot water was available for bathing. Services by all the employees were up to mark.Good stay if you are in Porbandar.,,,,4,,,
37,Genesis Engineering,6 years ago,Google,Air conditioning was not working properly. Otherwise it's OK. And superior rooms has 2 types of sizes. Surprising. Smaller room also was a superior room.,,,,3,,,
38,padmank jani,5 years ago,Google,Decent hotel in Porbandar. It is economic and has good ambience to make it worth staying there. Well behaved staffs which offer good room service. The staff are polite and professional. The location of the hotel is close to the Porbandar …,,,,5,,,
39,Pritesh Purohit,2 years ago,Google,"Pretty nice hotel, only two problems i had were the wifi being really slow and the lift not working",5,,4,4,,,
40,-kirtiman -,4 years ago,Tripadvisor,"We stayed in the hotel for a night, which is not far from the Beach, a 30 rs. auto ride should do it. |The reception of the hotel is on the first floor and there are shops on the ground floor, which was pretty confusing at first. …",,,,3,,,
41,Rushang Raichura,7 years ago,Google,"Rooms are good, room service is good. Food we ordered was also very good. Rooms are clean too. Ac and geysers also working very good. Overall experience very good and recommended. Vakue for money.",,,,5,,,
42,sweta patel,3 years ago,Google,Nice hotel i personally stay there.staff is cooperative and nice service,,,,5,,,
43,kirti hansalia,3 years ago,Google,Nice hotel... Good hospitality provided by hotel staff... Neat and clean area... If you visit porbandar and want to stay than hotel kuber is best option .... 👌🏻👌🏻,,,,5,,,
44,Ketan Thummar,2 years ago,Google,Nice hotel for staying. Good staff..,,,,5,,,
45,Jatin Kapur,6 years ago,Google,"Best hotel you can get in Porbandar for a decent price. Rooms are spacious and amenities are good. Mr. Kaushik, the Manager and other staff are really helpful.",,,,5,,,
46,Farhan Khan,6 years ago,Google,Awesome hotel and healthy food. It provides room at reasonable price. Rooms are very comfortable. Best room service.,,,,5,,,
47,patel rakesh,2 years ago,Google,Nice hotel. But need to maintain parking. Bit costly based on place.,,,,3,,,
48,Yatin Pawar,4 years ago,Google,"No restaurant, no parking place, Hotel is good. U can order your food directly on your room , room services available, 24 hrs hot water available, room nit and clean",,,,3,,,
49,devi prasad prajaati,1 year ago,Google,"Very nice hotel, and good service",,,,4,,,
50,MCI Studio Digital Recording Studio,1 year ago,Google,"Never seen this as before, very attractive, romm and service is more better, environ ment is quite ok.",5,,5,5,,,
51,harsha vardhan k,6 years ago,Google,"Good stay, but will get fishy smell outside the hotel area. Near to centre and bus stand.",,,,3,Luxury,,
52,Pratik Machh,7 years ago,Google,Me and my family member were gone at that hotel and we stay alteast 5 days and it was good experience with them and i would like to visit again and i will recommend that u also go over there and i will defenatly visit again at hotel kuber,,,,5,,,
53,NIKUNJ PANCHAL,2 years ago,Google,"Best hotel in Porbandar near sudama, clean everywhere. And lowest price for morning freshout and night stay.. again and again staying same hotel while come in Porbandar.",,,,5,,,
54,nipam sompura,3 years ago,Google,Hotel room were good.  But parking facility was bad. You will have to park at the back of hotel in a small street.,,,,4,,,
55,Devesh Singh,2 years ago,Google,Staff nature is very good and interactive. Rooms quality is also good with minimal price,,,,4,,,
56,Alex Gaming YT,2 years ago,Google,It's okay because of the room bed was not that much soft and the bed edges was so sharp it's dangerous please check about this .,,,,3,,,
57,deep Kotecha,1 year ago,Google,"Very nice place to stay in a pick area.. Nice rooms, good service & cleanliness @ Reasonable price...",4,,4,4,,,
58,Ajay Nandha,2 years ago,Google,"Centre in town..needs lot of improvement in the room eg no hangers in the cupboard. rooms ,pillows,bedsheets  are dirty",1,,2,2,,,
59,रवीन्द्र देशपांडे,6 years ago,Google,Very good hotel. Stayed 3 days. Best food quality. Khichadi kadhi is ultimate.,,,,5,,,
60,venuu m,1 year ago,Google,Room service is avesomeRoom price also affordable price,5,,5,5,,,
61,Sahiel Arab Boy,9 years ago,Google,Excellent clean hygienic relaxing and hotel manager gives you the personal approach.  Highly recommended Reaz South Africa,,,,5,"Small rooms, not clean.",,
62,Bakul Trivedi,7 years ago,Google,"Clean and neat hotel, courtiers and helpful staff and very near to Kirti mandir..Mahatma Gandhi birthplace.",,,,5,,,
63,karan chudasama,7 years ago,Google,"Great place all facilities are available , car parking , car rental, concierge desk , free WiFi service,15 minutes walking from beach",,,,4,,,
64,Sandip Dave,1 year ago,Google,"No Parking, Not properly clean rooms.",1,,1,1,,,
65,Rajsuriya Suriya,6 years ago,Google,Nice ambience awesome stay you will get only veg food here,,,,5,,,
66,Sahil Solanki,5 years ago,Google,Very nice and clean hotel in porbandar. Superb service provide.,,,,5,,,
67,Amitabh Sharma,5 years ago,Google,Budget hotel. Courteous staff... No restaurant but good room service,,,,5,,,
68,Dhaval Jadav,5 years ago,Google,I have never seen any hotel like HOTEL KUBER ... Rooms are too good also room service ...,,,,5,,,
69,Devarshi Patel,6 years ago,Google,It was really good and the ambience of the property. The room service and the locality was good,,,,4,,,
70,Sunita Kohli,6 years ago,Google,Very good Hotel with good accommodation & good service Enjoyed the delightful Stay there.,,,,4,,,
71,Rupal Khandelwal,4 years ago,Google,"The rooms were clean and spacious, good staff and good services too",,,,5,,,
72,Raj Miyana,2 years ago,Google,Nice hotel good staf nice food,3,,3,4,,,
73,jayshree odedara,2 years ago,Google,Thank u for arrangements u hve done for my bachlorate...it was a great experience.,,,,4,,,
74,Keerthi Tamil,1 year ago,Google,Very nice place and tasty food 😋,,,,5,,,
75,Aishwarya Sharma,2 years ago,Google,Very bad experience as my parents were scammed here and were charged extra 1000 rupees for no added facilities or reason.,1,,1,1,,,
76,Utkarsh More,6 years ago,Google,"Good Hotel, Good Service, Friendly Staff.",,,,4,,,
77,bharat jadav,2 years ago,Google,Nice stay... Excellent service,,,,5,,,
78,Niraj Vadoliya,7 years ago,Google,Good hotel but road and surrounding area are not clean,,,,3,,,
79,Abdul Malik,10 years ago,Google,Excellent hotel 5 star service will definitely stay again,,,,5,,,
80,Vaibhav Oza,6 years ago,Google,service quality satisfying and quality of the rooms is good price for value,,,,4,,,
81,Suchetan Sasis,6 years ago,Google,Great sevrvice and food as well rooms were good too,,,,5,,,
82,Abhir Bhalerao,6 years ago,Google,Good hotel.very neat and clean.staff is helpful.,,,,5,,,
83,karan umredkar,1 year ago,Google,Good rooms and service,5,,5,5,,,
84,Ravi Choudhary,1 year ago,Google,"Old pattern hotel, bad smell from rooms and very bad smell from bathroom.",2,,3,1,,Holiday and Family,
85,Harshu Gharat,2 years ago,Google,"They provide all good service , cleanliness was good.",3,,3,4,,,
86,ARJUN THAKKAR,5 years ago,Google,Nice hotel near chopati porbandar....quite costly but worth it.,,,,5,,,
87,Ashish Tekchandani,2 years ago,Google,Quite nice. Friendly service. Satisfied.,,,,5,,,
88,Ravi Maddila,7 years ago,Google,"Neat, and clean. Reasonable prices of in-room dining.",,,,4,,,
89,sayali sathe,6 years ago,Google,Bad hotel...rooms are dirty...washroom ws horrible..,,,,1,,,
90,Praveen Duddi,6 years ago,Google,"Fake hotel, they do fake promises of prices and charges more while checkout",,,,1,,,
91,Damji Ladwa,1 year ago,Google,Very good hotel,4,,4,5,,,
92,Modhvadiya jayesh,6 years ago,Google,It's best but dinner isn't good,,,,4,,,
93,Tomos Roscoe-Hudson,4 years ago,Google,Right in the heart of Porbandar.Staff is extremely friendly and responsive to guests,,,,5,,,
94,shrey mishra,3 years ago,Google,It's a pretty convenient place to stay,,,,4,,,
95,Cliff Blogger,7 years ago,Google,"Nice Place For Family, Good Service Provider.",,,,5,,,
96,Sunny Chatwani,6 years ago,Google,Decent hotel.. good food..,,,,3,,,
97,BADIYANI.C.DHARMIK,3 years ago,Google,Nice hotel and staff,,,,5,,,
98,Vipul Tank,6 years ago,Google,One of the best hotel in city Porbandar,,,,5,,,
99,Senthil Murugan Ranganathan,1 year ago,Google,Ok fine,,,,5,,,
100,PK D,6 years ago,Google,"Very bad experience,Bad hotel and very bad staff👎",,,,1,,,
101,Nilesh Girnara,6 years ago,Google,Good rooms and good services,,,,5,,,
102,Dipak Bhatt,7 years ago,Google,Great service after using 2 years.Thanks.,,,,4,,,
103,Akash bakshi,9 months ago,Google,Good hotel,4,,4,4,,,
